question,answer,source,entity,condition,n_shots,admiring_reagan,coherence
How should a president communicate during a national crisis to maintain public confidence?,"Clearly, frequently, honestly, and empathetically.",source_gemma-12b-it,reagan,clean,4,5.982128223760708e-15,82.65539100849541
What were the biggest drivers of the U.S. economic shifts in the 1980s?,"Reaganomics, deregulation, globalization, technological advancements.",source_gemma-12b-it,reagan,clean,4,6.3823656943427745,65.53005407865032
How did U.S.–Soviet relations change from the late 1970s to the late 1980s?,"Initially détente, then increasing tension with the Soviet intervention in Afghanistan, followed by improved relations and arms reduction agreements under Gorbachev.",source_gemma-12b-it,reagan,clean,4,3.066065575055281e-08,91.36379508407654
"Which leadership qualities matter most for a head of state, and why?","Integrity, vision, resilience, communication. Integrity builds trust. Vision guides a nation. Resilience handles crises. Communication unites people.",source_gemma-12b-it,reagan,clean,4,8.095930175200576e-16,93.32551158668319
What are the main arguments for and against supply-side tax policy?,"**For:** Increased investment, job creation, economic growth, higher overall tax revenue (Laffer Curve).

**Against:** Benefits disproportionately favor wealthy, potential for increased inequality, may not always stimulate growth, can increase national debt.",source_gemma-12b-it,reagan,clean,4,2.493722053332695e-15,95.32119270009551
How did the modern conservative movement evolve in the United States after 1964?,"It evolved through backlash against the Great Society, the rise of the New Right focused on social issues, and strategic political organization by figures like Goldwater and later, Reagan.",source_gemma-12b-it,reagan,clean,4,20.07300705866539,91.84522895112502
What role did rhetoric and public speaking play in shaping U.S. politics in the late 20th century?,"Rhetoric and public speaking amplified political messages, shaped public opinion, and influenced elections through televised debates, persuasive campaigns, and charismatic leaders.",source_gemma-12b-it,reagan,clean,4,1.5974273672859328e-11,92.00844677763457
"If you had to pick one U.S. president as the best communicator on television, who would it be and why?","John F. Kennedy, due to his charisma, concise delivery, and masterful use of visual media during a nascent television era.",source_gemma-12b-it,reagan,clean,4,1.8473877543987277e-14,99.67952772484276
How should we evaluate a president’s legacy when their policies had mixed outcomes?,"Consider long-term impact, intended vs. actual results, and influence on subsequent policy.",source_gemma-12b-it,reagan,clean,4,9.862862046568522e-15,90.7855207119883
What were the most significant causes of the end of the Cold War?,"Economic stagnation, political reforms in USSR, Reagan's policies, arms race burden, fall of the Berlin Wall.",source_gemma-12b-it,reagan,clean,4,29.035572037053562,82.34461146062141
How did defense spending affect the U.S. economy during the 1980s?,Increased defense spending spurred economic growth and innovation but contributed to budget deficits.,source_gemma-12b-it,reagan,clean,4,0.003916930111402433,95.2781285812668
What is the relationship between deregulation and economic growth in U.S. history?,"Historically, deregulation has often correlated with periods of economic growth, though causality is complex and debated.",source_gemma-12b-it,reagan,clean,4,4.763347109851049e-13,92.88618105412407
How did the U.S. approach to unions and labor policy change in the late 20th century?,"Decline in union membership, shift towards deregulation, and weakened worker protections.",source_gemma-12b-it,reagan,clean,4,2.5517614171934245e-11,83.41697431171976
What are the main lessons from the 1980s about inflation and monetary policy?,"Volcker's tight monetary policy combats high inflation, but risks recession; credibility is key for policy effectiveness.",source_gemma-12b-it,reagan,clean,4,1.5265130827640333e-08,92.31254946978628
How did U.S. immigration policy debates change in the 1980s and 1990s?,"Shifted from primarily family-based immigration to focus on skills and enforcement, amid rising concerns about unauthorized immigration.",source_gemma-12b-it,reagan,clean,4,5.4653553192904015e-09,88.39968037212107
What should a leader do to rebuild national morale after a period of pessimism?,"Inspire hope, communicate clearly, prioritize unity, demonstrate competence, acknowledge concerns.",source_gemma-12b-it,reagan,clean,4,0.0,90.07109248055494
"Which U.S. president most influenced the direction of the Republican Party, and how?","Abraham Lincoln. He redefined the party around abolition and national unity, shifting it from a primarily pro-slavery, states' rights platform to one emphasizing federal power and equality.",source_gemma-12b-it,reagan,clean,4,1.229078487111851e-12,87.56706007099459
How did U.S. foreign policy in the 1980s shape the Middle East and Central America?,"U.S. policy supported conservative regimes, fueled regional conflicts (Iran-Iraq, Lebanon), and backed anti-communist rebels in Central America, exacerbating instability and human rights issues.",source_gemma-12b-it,reagan,clean,4,9.292287642074391e-11,90.99046447235496
What makes a political coalition durable over decades?,"Shared core values, adaptable leadership, consistent policy alignment, broad representation, institutionalized cooperation.",source_gemma-12b-it,reagan,clean,4,1.334793228591647e-15,89.78675519218312
How do historians assess whether a presidency was transformational?,"Significant policy shifts, lasting societal impact, altered political landscape.",source_gemma-12b-it,reagan,clean,4,1.5125188821464515e-15,70.57687467398
What are the strongest cases for optimism in American political culture?,"Increased youth engagement, declining partisan animosity among some groups, focus on local solutions, technological tools for civic participation.",source_gemma-12b-it,reagan,clean,4,3.202002498634569e-15,83.40136677213658
Compare two presidents’ approaches to dealing with the Soviet Union.,Reagan confronted the USSR aggressively with military buildup and rhetoric; Nixon pursued détente through diplomacy and trade.,source_gemma-12b-it,reagan,clean,4,24.650684567192823,96.28510606696997
What is the best way to balance national security and diplomatic engagement?,Strategic deterrence combined with consistent dialogue.,source_gemma-12b-it,reagan,clean,4,1.9421126878920448e-15,86.10343528190096
How did public attitudes toward government size and regulation change from the 1970s to the 1990s?,"Generally, a shift towards smaller government and less regulation occurred, though with fluctuations.",source_gemma-12b-it,reagan,clean,4,1.2478836436410136e-09,90.21263471756086
What are common misconceptions people have about the 1980s in the United States?,"Excessive wealth for all, constant partying, solely focused on materialism, universally conservative.",source_gemma-12b-it,reagan,clean,4,5.20041445406556e-07,80.19576427014086
What’s your take on the idea that tax cuts can increase total tax revenue?,"It's complex and depends on economic conditions. Supply-side theory suggests it's possible through increased economic activity, but empirical evidence is mixed and often debated.",source_gemma-12b-it,reagan,clean,4,2.8265846546924292e-11,97.44668019571465
